SCAN FILE, #, TYPE, POSITION (m), DEPTH (m), AMPLITUDE, PIXEL COUNT
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.03, 0.11, 1.1, 245
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.24, 0.16, 1.8, 460
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.30, 0.05, 8.7, 2570
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.46, 0.11, 2.5, 844
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.61, 0.09, 1.5, 215
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.69, 0.11, 1.5, 616
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.74, 0.07, 1.3, 271
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 0.87, 0.06, 1.4, 265
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.25, 0.15, 1.5, 415
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.46, 0.13, 1.5, 710
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.49, 0.04, 3.7, 299
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.51, 0.21, 1.1, 220
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.86, 0.10, 2.4, 362
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 1.97, 0.10, 2.1, 602
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 2.29, 0.06, 5.9, 1351
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 2.40, 0.10, 2.0, 998
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 2.68, 0.08, 2.7, 756
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 2.95, 0.13, 2.1, 558
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.09, 0.12, 1.3, 174
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.23, 0.07, 1.9, 216
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.28, 0.03, 10.7, 651
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.46, 0.05, 2.4, 484
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.55, 0.10, 1.3, 221
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.73, 0.10, 1.1, 230
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.81, 0.02, 46.8, 3050
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 3.89, 0.10, 1.3, 432
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 4.17, 0.07, 2.1, 871
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 4.84, 0.07, 1.4, 239
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 4.93, 0.07, 3.0, 457
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.18, 0.06, 8.1, 1796
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.38, 0.06, 2.5, 378
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.53, 0.05, 5.0, 1303
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.70, 0.14, 1.3, 345
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.79, 0.06, 2.0, 517
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 5.89, 0.13, 1.3, 626
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 6.06, 0.11, 1.1, 280
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 6.10, 0.06, 2.4, 765
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 6.30, 0.06, 3.7, 1718
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 6.54, 0.12, 1.0, 159
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.02, 0.12, 0.9, 100
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.10, 0.02, 18.3, 1397
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.19, 0.06, 2.1, 610
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.59, 0.06, 2.7, 484
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.76, 0.05, 12.6, 1167
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.76, 0.15, 1.2, 248
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 7.97, 0.03, 3.0, 154
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 8.10, 0.14, 0.8, 116
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 8.44, 0.14, 1.0, 174
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 8.60, 0.05, 3.9, 1022
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 8.96, 0.07, 1.4, 317
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.08, 0.03, 9.5, 2195
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.15, 0.01, 17.3, 1415
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.46, 0.04, 3.4, 829
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.64, 0.08, 1.5, 308
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.73, 0.09, 2.3, 722
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.83, 0.05, 3.4, 832
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 9.92, 0.03, 3.0, 189
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.09, 0.04, 14.0, 1467
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.09, 0.12, 1.0, 204
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.20, 0.08, 2.3, 362
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.78, 0.07, 2.4, 499
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.92, 0.05, 2.2, 385
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 10.95, 0.05, 4.9, 1480
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 11.16, 0.02, 17.1, 2322
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 11.53, 0.11, 0.9, 132
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 11.73, 0.07, 2.1, 266
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 11.86, 0.08, 2.2, 396
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 12.04, 0.08, 1.8, 439
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 12.17, 0.07, 3.6, 1368
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 12.44, 0.16, 1.1, 216
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 12.57, 0.08, 2.3, 367
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 12.74, 0.09, 2.4, 1036
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 13.07, 0.09, 2.2, 513
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 13.18, 0.04, 2.8, 422
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 13.28, 0.07, 2.3, 1079
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 13.53, 0.12, 1.3, 123
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 14.05, 0.06, 2.9, 772
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 14.06, 0.12, 0.9, 156
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 14.55, 0.06, 2.7, 425
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 14.68, 0.06, 1.7, 144
ROOT_PFTC7_SITE1_(nogp)_0003, , DETECT, 14.83, 0.01, 23.7, 2667
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 0.00, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 1.23, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 3.52, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 4.66, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 6.95, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 8.18, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 10.44, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 11.62, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 13.88, -, -, -
ROOT_PFTC7_SITE1_(nogp)_0003, -, MARKER, 15.08, -, -, -

TBA Density Info
# Total Detections = 81, 5.37, #/m
Zone 1: 0-20 cm
# Detections = 80, 5.30, #/m
Zone 2: 20-41 cm
# Detections = 1, 0.07, #/m
Zone 3: 41 cm -
# Detections = 0, 0.00, #/m
